Category (RU),English,Description
ЖКХ,Utilities & Housing,"Payments for rent, water, electricity, heating, maintenance fees."
Все для дома,Home & Furniture,"Household items, decor, furniture, cleaning supplies."
Карманные,Pocket Money,"Small personal or daily expenses, spontaneous cash spending."
Продукты,Groceries,Food and beverages purchased in stores and supermarkets.
Транспорт,Transport,"Public transit, taxi, fuel, parking, or car maintenance."
Еда,Dining & Cafes,"Eating out: restaurants, cafes, delivery services."
Развлечения,Entertainment,"Movies, games, events, subscriptions, leisure activities."
Связь,Communication,"Mobile plans, internet, subscriptions for connectivity."
Здоровье,Health,"Medicines, clinics, dental care, supplements, health insurance."
Авто,Car Expenses,"Repairs, maintenance, car wash, accessories."
Спорт,Sports,"Gym memberships, equipment, sportswear, training."
Дети,Children,"Kids’ education, toys, clothes, activities."
Путешествия,Travel,"Tickets, accommodation, tours, vacation-related costs."
Одежда,Clothing,"Apparel, shoes, accessories."
Красота,Beauty,"Cosmetics, salons, personal care services."
Подарки,Gifts,"Presents for others, celebrations, holidays."
